campaign_id,campaign_date,channel,campaign_name,spend,impressions,clicks,conversions,revenue_generated,new_customers
MC00001,2025-01-01,Google Ads,Google Ads Jan-2025,165631.08,6972000,198460,3066,575922.08,1715
MC00002,2025-01-01,Meta Ads,Meta Ads Jan-2025,145568.48,5830435,307701,15417,413313.13,8939
MC00003,2025-01-01,Instagram,Instagram Jan-2025,111089.63,7741159,257479,14282,371482.24,6069
MC00004,2025-01-01,Email,Email Jan-2025,38928.89,3463260,133762,2174,169841.33,737
MC00005,2025-01-01,Organic Search,Organic Search Jan-2025,17249.55,727054,35059,1766,119116.79,1017
MC00006,2025-01-01,Affiliate,Affiliate Jan-2025,62464.25,3951272,59448,1417,234247.95,741
MC00007,2025-01-01,Influencer,Influencer Jan-2025,51092.12,6572524,146878,6305,130750.19,4351
MC00008,2025-01-01,Marketplace,Marketplace Jan-2025,110370.22,6688939,171025,8202,291534.32,4864
MC00009,2025-02-01,Google Ads,Google Ads Feb-2025,199841.84,8882938,281353,8026,850651.41,2971
MC00010,2025-02-01,Meta Ads,Meta Ads Feb-2025,184023.9,10530185,493500,33236,610110.31,16693
MC00011,2025-02-01,Instagram,Instagram Feb-2025,74667.34,3823810,98269,5737,200765.05,2364
MC00012,2025-02-01,Email,Email Feb-2025,43469.64,4894830,68093,2929,256164.26,1957
MC00013,2025-02-01,Organic Search,Organic Search Feb-2025,20989.49,1022452,20604,1161,122822.02,783
MC00014,2025-02-01,Affiliate,Affiliate Feb-2025,63810.58,4842527,235949,11091,210622.95,3336
MC00015,2025-02-01,Influencer,Influencer Feb-2025,44738.58,3051828,89607,4445,126242.48,2762
MC00016,2025-02-01,Marketplace,Marketplace Feb-2025,105671.13,4364288,200486,12781,355331.52,5022
MC00017,2025-03-01,Google Ads,Google Ads Mar-2025,160422.51,19559934,455601,10869,618016.73,3299
MC00018,2025-03-01,Meta Ads,Meta Ads Mar-2025,190613.49,9151754,502624,20581,498264.85,10231
MC00019,2025-03-01,Instagram,Instagram Mar-2025,76930.45,3225639,65885,3692,225689.85,2338
MC00020,2025-03-01,Email,Email Mar-2025,35836.63,5286112,170237,5821,145248.0,4318
MC00021,2025-03-01,Organic Search,Organic Search Mar-2025,20251.32,2669804,108045,2798,97959.58,820
MC00022,2025-03-01,Affiliate,Affiliate Mar-2025,52385.2,2262900,80019,4887,166407.39,2798
MC00023,2025-03-01,Influencer,Influencer Mar-2025,54605.69,3741096,50596,2608,163811.97,1686
MC00024,2025-03-01,Marketplace,Marketplace Mar-2025,119534.63,19134588,321629,7218,310526.43,3717
MC00025,2025-04-01,Google Ads,Google Ads Apr-2025,162183.55,7192178,89309,5478,714512.78,2100
MC00026,2025-04-01,Meta Ads,Meta Ads Apr-2025,168498.21,14484334,726520,22821,618528.9,16573
MC00027,2025-04-01,Instagram,Instagram Apr-2025,95291.02,8367342,329325,18385,284648.06,10154
MC00028,2025-04-01,Email,Email Apr-2025,31747.04,4888933,142897,3715,189821.75,1401
MC00029,2025-04-01,Organic Search,Organic Search Apr-2025,21540.51,1002083,13553,273,98588.27,94
MC00030,2025-04-01,Affiliate,Affiliate Apr-2025,50917.13,2761138,94449,6313,186572.98,4412
MC00031,2025-04-01,Influencer,Influencer Apr-2025,44032.41,2153319,44751,1927,108297.91,1033
MC00032,2025-04-01,Marketplace,Marketplace Apr-2025,107675.27,18645711,816393,41381,311223.18,25823
MC00033,2025-05-01,Google Ads,Google Ads May-2025,223042.71,15674079,554434,12818,772809.28,5408
MC00034,2025-05-01,Meta Ads,Meta Ads May-2025,143211.81,11629423,286875,13640,415613.13,4927
MC00035,2025-05-01,Instagram,Instagram May-2025,101437.63,14076977,683072,35053,330002.46,12677
MC00036,2025-05-01,Email,Email May-2025,38461.76,1701830,31853,1300,235910.96,412
MC00037,2025-05-01,Organic Search,Organic Search May-2025,23756.79,3603644,56989,3841,124124.26,2289
MC00038,2025-05-01,Affiliate,Affiliate May-2025,50986.47,2763881,91790,2707,194418.0,1549
MC00039,2025-05-01,Influencer,Influencer May-2025,40867.3,2110893,45776,1225,102568.3,454
MC00040,2025-05-01,Marketplace,Marketplace May-2025,96927.7,8602255,126233,7562,247453.29,2216
MC00041,2025-06-01,Google Ads,Google Ads Jun-2025,219352.76,28966377,670763,26084,762317.39,9517
MC00042,2025-06-01,Meta Ads,Meta Ads Jun-2025,161861.47,20186326,344487,14866,417327.18,10153
MC00043,2025-06-01,Instagram,Instagram Jun-2025,91218.24,4288811,234062,11443,301795.89,7231
MC00044,2025-06-01,Email,Email Jun-2025,36805.6,4697590,239988,10292,209991.73,5776
MC00045,2025-06-01,Organic Search,Organic Search Jun-2025,21107.3,1188093,34687,1988,133329.62,1097
MC00046,2025-06-01,Affiliate,Affiliate Jun-2025,59340.34,8065923,377942,18863,231056.84,9646
MC00047,2025-06-01,Influencer,Influencer Jun-2025,44704.07,5405790,265064,10476,109792.24,6001
MC00048,2025-06-01,Marketplace,Marketplace Jun-2025,91018.25,5766459,199261,8499,210616.23,6356
MC00049,2025-07-01,Google Ads,Google Ads Jul-2025,182284.04,10007783,231353,10455,918314.58,5076
MC00050,2025-07-01,Meta Ads,Meta Ads Jul-2025,212021.3,20735190,779076,39054,649881.81,16165
MC00051,2025-07-01,Instagram,Instagram Jul-2025,107035.06,5478975,254187,16539,302156.77,4543
MC00052,2025-07-01,Email,Email Jul-2025,28630.71,1321808,66927,4349,130034.11,1231
MC00053,2025-07-01,Organic Search,Organic Search Jul-2025,18872.66,1930748,59178,2428,89989.8,780
MC00054,2025-07-01,Affiliate,Affiliate Jul-2025,51466.05,4185361,209642,9890,203347.97,4590
MC00055,2025-07-01,Influencer,Influencer Jul-2025,57875.64,2917468,154903,4741,122613.74,3522
MC00056,2025-07-01,Marketplace,Marketplace Jul-2025,90968.84,14741376,582231,29386,309750.37,15739
MC00057,2025-08-01,Google Ads,Google Ads Aug-2025,205521.11,35557160,1529558,96702,973876.98,51694
MC00058,2025-08-01,Meta Ads,Meta Ads Aug-2025,196474.51,31391427,1671934,64651,550113.96,43246
MC00059,2025-08-01,Instagram,Instagram Aug-2025,89410.0,7059829,137191,7689,223800.26,5451
MC00060,2025-08-01,Email,Email Aug-2025,40346.03,2553331,40485,2071,185461.31,1432
MC00061,2025-08-01,Organic Search,Organic Search Aug-2025,19574.73,2355447,104875,4133,117815.04,2922
MC00062,2025-08-01,Affiliate,Affiliate Aug-2025,66728.06,2904046,122310,7520,243682.68,2419
MC00063,2025-08-01,Influencer,Influencer Aug-2025,41312.73,2040615,73912,4003,117254.05,1785
MC00064,2025-08-01,Marketplace,Marketplace Aug-2025,119759.5,5100484,142166,5462,350477.23,2671
MC00065,2025-09-01,Google Ads,Google Ads Sep-2025,223694.2,9632058,472212,7391,1131435.58,2914
MC00066,2025-09-01,Meta Ads,Meta Ads Sep-2025,165797.84,8323915,231818,5200,559838.4,2801
MC00067,2025-09-01,Instagram,Instagram Sep-2025,103746.2,7819030,269917,8558,312727.03,2870
MC00068,2025-09-01,Email,Email Sep-2025,30561.13,2965323,67731,4673,127854.34,3016
MC00069,2025-09-01,Organic Search,Organic Search Sep-2025,21907.17,980326,26425,1790,117355.98,976
MC00070,2025-09-01,Affiliate,Affiliate Sep-2025,54250.61,2960171,66350,2439,190633.96,884
MC00071,2025-09-01,Influencer,Influencer Sep-2025,47273.37,4353075,126492,4846,115604.46,2032
MC00072,2025-09-01,Marketplace,Marketplace Sep-2025,118928.3,14626445,225550,5097,275801.41,1768
MC00073,2025-10-01,Google Ads,Google Ads Oct-2025,224268.75,22579130,1143369,64996,744486.2,27039
MC00074,2025-10-01,Meta Ads,Meta Ads Oct-2025,208473.39,9797517,225492,7745,744781.02,5279
MC00075,2025-10-01,Instagram,Instagram Oct-2025,89357.39,8600990,249683,7597,232472.16,3207
MC00076,2025-10-01,Email,Email Oct-2025,29220.96,3387815,168057,10363,161012.97,5142
MC00077,2025-10-01,Organic Search,Organic Search Oct-2025,20072.74,1243171,25735,1335,112835.75,434
MC00078,2025-10-01,Affiliate,Affiliate Oct-2025,68681.49,2857274,92676,4418,276004.02,3130
MC00079,2025-10-01,Influencer,Influencer Oct-2025,40278.72,3866835,80357,5197,118194.79,2453
MC00080,2025-10-01,Marketplace,Marketplace Oct-2025,128941.65,8680014,387450,6449,434784.6,3316
MC00081,2025-11-01,Google Ads,Google Ads Nov-2025,190534.04,19828333,477231,29088,668831.55,7281
MC00082,2025-11-01,Meta Ads,Meta Ads Nov-2025,181958.57,8268985,125981,8174,466686.52,5199
MC00083,2025-11-01,Instagram,Instagram Nov-2025,110540.24,5173531,199530,7138,254391.74,1991
MC00084,2025-11-01,Email,Email Nov-2025,38641.26,2660050,37173,1048,202055.72,276
MC00085,2025-11-01,Organic Search,Organic Search Nov-2025,20066.79,1196111,53092,2834,124900.21,2020
MC00086,2025-11-01,Affiliate,Affiliate Nov-2025,74151.03,3161072,169745,10599,255550.4,3068
MC00087,2025-11-01,Influencer,Influencer Nov-2025,52397.04,2145532,112619,3688,149892.25,1243
MC00088,2025-11-01,Marketplace,Marketplace Nov-2025,98251.1,5093687,90272,3276,247845.96,2430
MC00089,2025-12-01,Google Ads,Google Ads Dec-2025,194582.43,18074899,607619,36104,914251.57,18159
MC00090,2025-12-01,Meta Ads,Meta Ads Dec-2025,140232.35,17751937,872202,36006,337569.64,17693
MC00091,2025-12-01,Instagram,Instagram Dec-2025,107021.29,4404012,68914,2853,354193.58,2058
MC00092,2025-12-01,Email,Email Dec-2025,37983.58,2147255,90779,1688,216019.6,980
MC00093,2025-12-01,Organic Search,Organic Search Dec-2025,20944.73,1692601,91039,3658,142532.44,2411
MC00094,2025-12-01,Affiliate,Affiliate Dec-2025,53245.03,9128442,178160,5072,171154.47,2465
MC00095,2025-12-01,Influencer,Influencer Dec-2025,60361.08,2583555,121958,4420,134586.89,1441
MC00096,2025-12-01,Marketplace,Marketplace Dec-2025,105596.93,4343673,222485,7967,242139.65,5528
MC00097,2026-01-01,Google Ads,Google Ads Jan-2026,194360.69,11519442,542478,29844,1000391.41,17782
MC00098,2026-01-01,Meta Ads,Meta Ads Jan-2026,195630.31,12056739,163440,11139,652837.16,4929
MC00099,2026-01-01,Instagram,Instagram Jan-2026,109199.6,4812715,246846,4630,303601.77,2581
MC00100,2026-01-01,Email,Email Jan-2026,29074.33,2241538,116366,2506,116713.08,1179
